,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salarios
102,persona_102,46,F,Zipaquira,0,4,1,2447
103,persona_103,24,M,Cajica,2,5,0,3653
104,persona_104,31,M,Chía,3,4,1,3470
105,persona_105,42,M,Zipaquira,0,6,2,3029
106,persona_106,41,M,Chía,3,10,1,1381
107,persona_107,64,F,Zipaquira,3,0,2,4520
108,persona_108,57,M,Cota,1,5,1,1121
109,persona_109,24,M,Chía,2,7,0,2736
110,persona_110,42,M,Zipaquira,1,10,2,3929
111,persona_111,68,M,Bogotá,2,7,1,3359
112,persona_112,60,M,Cota,1,0,2,1435
113,persona_113,35,F,Cajica,3,3,2,1104
114,persona_114,58,M,Cajica,3,4,2,4506
115,persona_115,47,F,Cajica,3,5,1,3927
116,persona_116,42,F,Bogotá,3,6,1,1976
117,persona_117,60,F,Cajica,2,8,0,3390
118,persona_118,70,F,Cota,3,6,2,2535
119,persona_119,28,F,Zipaquira,3,9,0,3843
120,persona_120,53,F,Bogotá,2,8,0,1569
121,persona_121,59,M,Cota,1,0,1,2419
122,persona_122,62,M,Bogotá,1,4,2,1364
123,persona_123,43,M,Chía,1,0,0,3546
124,persona_124,68,M,Chía,2,7,2,2077
125,persona_125,26,M,Zipaquira,1,3,0,2956
126,persona_126,29,M,Chía,0,0,2,4992
127,persona_127,63,F,Zipaquira,0,0,2,3369
128,persona_128,25,F,Zipaquira,1,10,0,3900
129,persona_129,57,M,Bogotá,3,9,2,1429
130,persona_130,67,M,Chía,2,1,0,3104
131,persona_131,44,F,Cajica,1,5,0,2973
132,persona_132,55,M,Zipaquira,3,6,2,3133
133,persona_133,69,M,Cota,2,3,2,2433
134,persona_134,58,F,Cajica,2,8,2,4350
135,persona_135,29,F,Bogotá,0,10,0,4019
136,persona_136,52,M,Bogotá,0,7,0,1618
137,persona_137,39,F,Chía,0,10,1,1181
138,persona_138,28,F,Bogotá,3,10,2,1283
139,persona_139,58,M,Cota,2,8,2,4609
140,persona_140,69,M,Zipaquira,3,7,1,4357
141,persona_141,60,F,Bogotá,3,10,0,4515
142,persona_142,66,M,Cota,1,7,1,2419
143,persona_143,50,F,Chía,3,2,0,3709
144,persona_144,31,M,Bogotá,0,6,2,4239
145,persona_145,40,M,Cota,3,3,1,986
146,persona_146,65,F,Chía,2,6,2,2043
147,persona_147,40,F,Cota,3,0,0,2534
148,persona_148,47,M,Bogotá,3,9,2,1037
149,persona_149,41,M,Chía,3,5,2,2189
150,persona_150,25,M,Chía,1,7,2,3440
151,persona_151,44,F,Cajica,2,1,1,3640
152,persona_152,46,M,Bogotá,0,8,1,2580
153,persona_153,54,F,Bogotá,2,10,1,1336
154,persona_154,30,M,Cota,3,10,2,1426
155,persona_155,60,M,Chía,1,8,2,4531
156,persona_156,48,M,Cajica,0,2,1,1706
157,persona_157,56,F,Cajica,1,4,1,4118
158,persona_158,52,M,Bogotá,1,4,2,4199
159,persona_159,21,M,Bogotá,0,4,1,4305
160,persona_160,31,M,Chía,1,0,2,4888
161,persona_161,28,M,Bogotá,3,8,1,4587
162,persona_162,32,M,Zipaquira,0,1,1,3659
163,persona_163,48,F,Cota,1,9,2,4916
164,persona_164,26,F,Bogotá,0,10,1,1248
165,persona_165,60,F,Zipaquira,3,5,1,1306
166,persona_166,28,M,Chía,0,3,2,2058
167,persona_167,46,F,Chía,2,1,0,2572
168,persona_168,45,F,Zipaquira,1,3,2,2551
169,persona_169,23,M,Cota,1,10,0,2031
170,persona_170,29,F,Cajica,2,8,1,1110
171,persona_171,32,F,Cota,1,2,2,2022
172,persona_172,70,F,Bogotá,3,1,2,4975
173,persona_173,30,F,Cajica,1,1,1,1513
174,persona_174,40,F,Bogotá,1,10,1,4769
175,persona_175,27,M,Bogotá,0,4,1,3636
176,persona_176,24,F,Cota,2,5,2,2496
177,persona_177,31,F,Cota,1,6,2,1800
178,persona_178,31,M,Cajica,1,4,0,4611
179,persona_179,21,F,Cota,2,7,0,4110
180,persona_180,21,M,Zipaquira,0,8,1,4480
181,persona_181,21,F,Chía,1,5,2,1520
182,persona_182,41,F,Chía,3,5,2,3343
183,persona_183,62,M,Cota,0,5,2,3073
184,persona_184,30,M,Chía,3,8,0,1305
185,persona_185,47,F,Chía,1,8,1,3109
186,persona_186,70,F,Bogotá,0,10,0,4313
187,persona_187,35,F,Bogotá,0,3,2,2316
188,persona_188,49,M,Chía,0,2,0,1990
189,persona_189,51,M,Zipaquira,2,0,1,1877
190,persona_190,66,M,Chía,1,2,2,4440
191,persona_191,53,F,Bogotá,2,8,2,4411
192,persona_192,50,M,Zipaquira,0,0,2,1352
193,persona_193,52,M,Chía,0,9,2,945
194,persona_194,51,M,Cajica,2,3,2,2865
195,persona_195,58,M,Bogotá,0,4,1,3584
196,persona_196,53,M,Cajica,1,6,0,1326
197,persona_197,56,F,Bogotá,0,2,1,4037
198,persona_198,36,M,Zipaquira,0,3,2,4827
199,persona_199,37,M,Zipaquira,0,5,0,1729
200,persona_200,69,F,Chía,3,2,1,2641
201,persona_201,42,F,Bogotá,0,0,1,4846
202,persona_202,23,F,Chía,1,9,0,3964
203,persona_203,51,M,Cajica,0,6,2,1854
204,persona_204,64,M,Zipaquira,1,5,0,3768
205,persona_205,63,F,Cota,3,2,2,1051
206,persona_206,54,M,Chía,3,2,1,3828
207,persona_207,56,M,Chía,0,9,1,1201
208,persona_208,59,F,Zipaquira,2,0,0,4930
209,persona_209,37,F,Cota,2,7,2,4117
210,persona_210,52,M,Bogotá,3,8,2,4087
211,persona_211,23,F,Cota,3,6,0,1318
212,persona_212,52,M,Chía,3,5,0,1953
213,persona_213,28,M,Zipaquira,3,8,2,1844
214,persona_214,68,F,Chía,1,10,0,3021
215,persona_215,54,F,Cota,0,7,1,4304
216,persona_216,20,F,Zipaquira,0,4,2,3192
217,persona_217,31,M,Bogotá,0,3,0,2380
218,persona_218,41,F,Cajica,0,6,1,4400
219,persona_219,70,F,Bogotá,3,7,2,3941
220,persona_220,60,F,Bogotá,2,4,0,4888
221,persona_221,27,M,Cota,1,2,1,3079
222,persona_222,50,M,Cajica,0,5,2,1505
223,persona_223,65,F,Cota,1,8,2,4669
224,persona_224,58,M,Cota,0,5,0,2608
225,persona_225,38,M,Cajica,3,10,1,3257
226,persona_226,63,M,Chía,3,5,2,3024
227,persona_227,20,M,Zipaquira,2,3,0,3885
228,persona_228,49,F,Chía,3,5,0,3893
229,persona_229,31,F,Zipaquira,2,1,1,4983
230,persona_230,69,F,Cajica,2,4,1,2407
231,persona_231,43,M,Cota,0,2,1,4239
232,persona_232,61,F,Cajica,0,2,0,2079
233,persona_233,56,M,Cota,3,7,0,3691
234,persona_234,33,F,Cota,3,6,0,2868
235,persona_235,33,M,Zipaquira,2,5,2,3429
236,persona_236,58,M,Chía,1,7,2,1071
237,persona_237,58,M,Cajica,0,10,1,3212
238,persona_238,35,M,Cota,1,9,1,3593
239,persona_239,41,F,Cajica,0,10,0,4642
240,persona_240,31,M,Chía,3,5,2,3309
241,persona_241,59,M,Cota,0,3,0,4411
242,persona_242,63,M,Bogotá,0,8,1,3676
243,persona_243,20,M,Cajica,0,8,0,2962
244,persona_244,35,M,Zipaquira,2,10,2,3266
245,persona_245,36,F,Cota,3,1,2,2156
246,persona_246,22,M,Chía,1,1,2,2942
247,persona_247,50,F,Zipaquira,2,3,1,3912
248,persona_248,23,F,Zipaquira,2,0,0,1639
249,persona_249,40,F,Bogotá,0,0,2,1319
250,persona_250,29,F,Zipaquira,1,6,0,3835
251,persona_251,29,M,Chía,0,5,2,2953
252,persona_252,41,F,Bogotá,3,6,1,1184
253,persona_253,32,M,Bogotá,0,0,1,3401
254,persona_254,42,F,Cajica,0,8,0,2887
255,persona_255,31,F,Zipaquira,3,4,2,1497
256,persona_256,61,M,Cota,3,6,1,1246
257,persona_257,27,M,Cota,1,2,2,1615
258,persona_258,68,F,Chía,3,2,2,3122
259,persona_259,59,M,Zipaquira,2,0,0,4713
260,persona_260,70,F,Cota,2,3,0,4948
261,persona_261,35,F,Bogotá,3,7,2,2919
262,persona_262,23,M,Cajica,0,9,2,3171
263,persona_263,52,M,Chía,2,10,2,4016
264,persona_264,38,F,Cota,2,9,2,3167
265,persona_265,40,M,Cajica,3,3,0,2985
266,persona_266,30,M,Zipaquira,3,9,0,4000
267,persona_267,42,F,Cota,0,5,0,2314
268,persona_268,43,M,Chía,3,0,1,4459
269,persona_269,42,F,Cota,1,1,1,2792
270,persona_270,51,M,Cajica,3,3,0,2724
271,persona_271,52,F,Zipaquira,2,9,2,4489
272,persona_272,52,F,Zipaquira,0,1,1,1227
273,persona_273,44,F,Cota,3,7,1,3161
274,persona_274,30,M,Chía,2,4,0,1304
275,persona_275,58,M,Bogotá,2,1,1,1389
276,persona_276,25,F,Cota,3,2,0,1481
277,persona_277,52,F,Zipaquira,2,1,2,1916
278,persona_278,31,M,Bogotá,1,6,2,1105
279,persona_279,62,F,Zipaquira,2,2,1,3401
280,persona_280,57,M,Bogotá,1,0,0,4708
281,persona_281,62,F,Chía,1,3,2,3668
282,persona_282,65,M,Cota,0,4,2,4229
283,persona_283,54,M,Bogotá,0,2,0,4917
284,persona_284,26,M,Cajica,1,8,0,3172
285,persona_285,25,F,Bogotá,0,9,1,1484
286,persona_286,68,M,Zipaquira,0,3,2,2438
287,persona_287,22,M,Bogotá,3,2,1,4168
288,persona_288,46,F,Chía,1,3,1,2545
289,persona_289,21,M,Cota,3,2,1,1925
290,persona_290,58,F,Zipaquira,1,2,1,3037
291,persona_291,21,F,Cota,0,2,1,2864
292,persona_292,29,F,Zipaquira,2,4,1,2526
293,persona_293,43,F,Zipaquira,3,2,0,2791
294,persona_294,25,F,Cajica,3,6,1,3078
295,persona_295,37,M,Chía,2,0,2,1604
296,persona_296,37,F,Cota,1,3,0,1545
297,persona_297,25,F,Cota,2,5,1,2762
298,persona_298,26,M,Bogotá,1,5,1,2566
299,persona_299,34,M,Cajica,1,2,2,4956
300,persona_300,22,M,Cota,1,0,2,3676
301,persona_301,26,M,Chía,3,3,0,4873
302,persona_302,42,M,Chía,2,8,2,4624
303,persona_303,42,M,Zipaquira,2,9,0,4734
304,persona_304,22,F,Bogotá,2,0,1,1245
305,persona_305,37,M,Zipaquira,3,7,1,2824
306,persona_306,57,M,Cota,1,8,2,2484
307,persona_307,31,M,Cota,1,7,0,4658
308,persona_308,63,M,Cota,1,1,2,2523
309,persona_309,23,F,Cota,1,8,0,1633
310,persona_310,42,M,Bogotá,1,10,1,1136
311,persona_311,52,M,Bogotá,0,6,2,2069
312,persona_312,28,F,Bogotá,2,4,2,4851
313,persona_313,63,M,Zipaquira,1,7,2,4918
314,persona_314,50,F,Bogotá,3,3,2,2975
315,persona_315,49,M,Cajica,0,2,2,1799
316,persona_316,38,F,Cota,1,4,1,2086
317,persona_317,36,M,Zipaquira,1,9,2,4932
318,persona_318,49,M,Bogotá,1,4,1,1057
319,persona_319,36,M,Bogotá,1,5,2,3497
320,persona_320,56,F,Cota,2,1,0,4056
321,persona_321,35,M,Cajica,3,9,0,2360
322,persona_322,37,M,Zipaquira,3,3,1,2490
323,persona_323,25,F,Bogotá,3,8,0,1267
324,persona_324,35,F,Chía,2,7,0,2851
325,persona_325,62,F,Cajica,2,9,0,1100
326,persona_326,60,F,Cota,3,7,0,2391
327,persona_327,53,M,Cajica,3,2,1,3224
328,persona_328,50,M,Zipaquira,1,4,0,2559
329,persona_329,50,F,Cajica,0,1,0,3794
330,persona_330,55,M,Bogotá,2,7,2,2150
331,persona_331,69,M,Bogotá,2,2,0,4062
332,persona_332,60,M,Bogotá,3,4,2,1177
333,persona_333,59,F,Bogotá,0,8,0,1934
334,persona_334,67,M,Bogotá,3,9,2,1135
335,persona_335,38,F,Cajica,0,3,2,3533
336,persona_336,50,F,Cota,1,5,1,3082
337,persona_337,70,F,Cajica,2,1,1,3166
338,persona_338,41,M,Zipaquira,3,10,1,1813
339,persona_339,20,M,Cajica,2,2,0,2988
340,persona_340,59,M,Cota,1,5,0,3812
341,persona_341,31,F,Chía,1,3,0,1716
342,persona_342,20,M,Chía,0,2,0,1636
343,persona_343,62,M,Bogotá,1,9,0,2196
344,persona_344,61,F,Cajica,2,9,0,1739
345,persona_345,21,M,Zipaquira,3,2,2,1329
346,persona_346,61,M,Bogotá,1,3,1,1982
347,persona_347,59,M,Chía,1,2,2,2580
348,persona_348,34,F,Cajica,1,1,1,3431
349,persona_349,53,M,Bogotá,1,6,2,3804
350,persona_350,24,F,Zipaquira,3,0,2,3005
351,persona_351,64,F,Zipaquira,2,1,2,2043
352,persona_352,49,M,Zipaquira,1,3,1,1809
353,persona_353,67,F,Cota,1,1,1,2249
354,persona_354,36,F,Cajica,1,6,1,3368
355,persona_355,65,M,Cajica,2,9,0,2190
356,persona_356,64,M,Cota,0,1,2,1717
357,persona_357,69,F,Cajica,1,5,1,3900
358,persona_358,54,F,Cajica,0,7,2,2224
359,persona_359,57,M,Chía,2,9,0,3673
360,persona_360,56,F,Cota,1,10,2,4838
361,persona_361,23,F,Zipaquira,1,9,0,1938
362,persona_362,25,F,Cajica,1,5,1,3145
363,persona_363,61,F,Zipaquira,1,9,1,1106
364,persona_364,36,F,Chía,0,6,0,2200
365,persona_365,42,M,Cajica,2,8,1,1516
366,persona_366,69,F,Zipaquira,0,1,1,1955
367,persona_367,24,F,Chía,3,9,1,4739
368,persona_368,37,M,Chía,0,9,1,3191
369,persona_369,23,F,Cajica,1,8,0,2027
370,persona_370,28,F,Cajica,3,8,1,1119
371,persona_371,66,F,Chía,1,7,0,1975
372,persona_372,28,M,Cajica,0,5,1,3469
373,persona_373,61,F,Zipaquira,1,6,1,2322
374,persona_374,42,F,Zipaquira,2,9,0,1305
375,persona_375,37,F,Cota,3,1,0,4289
376,persona_376,24,M,Zipaquira,1,0,1,3059
377,persona_377,65,M,Cota,3,0,1,1725
378,persona_378,41,M,Cota,2,4,0,1336
379,persona_379,47,F,Cajica,1,9,2,900
380,persona_380,54,F,Cota,1,4,1,1727
381,persona_381,46,M,Cajica,1,6,1,3903
382,persona_382,25,M,Chía,0,8,2,2833
383,persona_383,63,F,Cota,1,4,1,3997
384,persona_384,60,M,Bogotá,2,5,2,3224
385,persona_385,28,F,Zipaquira,1,3,0,3583
386,persona_386,63,F,Cota,1,6,2,3238
387,persona_387,30,F,Zipaquira,3,0,0,1947
388,persona_388,56,M,Bogotá,1,2,0,2192
389,persona_389,66,F,Cajica,0,2,0,2872
390,persona_390,26,M,Zipaquira,3,7,2,4321
391,persona_391,59,M,Bogotá,3,5,0,2818
392,persona_392,46,F,Chía,3,2,2,1116
393,persona_393,40,F,Cota,3,10,1,2909
394,persona_394,45,F,Cota,1,1,2,4467
395,persona_395,22,M,Cota,1,2,1,1238
396,persona_396,25,F,Bogotá,3,2,1,1248
397,persona_397,43,M,Zipaquira,2,3,1,1335
398,persona_398,23,F,Cota,3,10,1,4734
399,persona_399,30,F,Bogotá,2,9,2,1444
400,persona_400,53,M,Cajica,1,8,2,3646
401,persona_401,54,F,Zipaquira,1,1,1,2962
402,persona_402,64,M,Chía,1,8,2,4744
403,persona_403,39,M,Zipaquira,3,3,2,2815
404,persona_404,55,M,Zipaquira,1,7,2,4101
405,persona_405,36,M,Cota,0,0,0,1071
406,persona_406,24,F,Cajica,2,0,0,1232
407,persona_407,42,M,Zipaquira,1,8,2,3917
408,persona_408,54,M,Chía,1,10,1,3931
409,persona_409,34,M,Cota,3,8,2,2596
410,persona_410,28,F,Cota,3,7,2,3779
411,persona_411,34,F,Chía,2,3,1,1496
412,persona_412,40,F,Bogotá,0,9,0,4010
413,persona_413,51,F,Chía,1,1,1,4475
414,persona_414,31,F,Cajica,2,4,0,4238
415,persona_415,69,F,Cota,1,7,2,2024
416,persona_416,58,F,Cajica,2,2,1,2930
417,persona_417,51,F,Cajica,1,1,2,2515
418,persona_418,65,F,Zipaquira,2,9,1,4800
419,persona_419,57,F,Chía,1,2,1,4651
420,persona_420,52,F,Bogotá,1,1,2,904
421,persona_421,27,F,Cota,0,6,2,1445
422,persona_422,64,F,Bogotá,3,9,1,4146
423,persona_423,63,F,Bogotá,0,6,1,1246
424,persona_424,22,M,Zipaquira,1,4,2,2455
425,persona_425,46,F,Bogotá,1,1,1,3217
426,persona_426,24,M,Chía,0,5,1,1759
427,persona_427,32,M,Chía,2,7,0,3998
428,persona_428,61,F,Chía,0,2,0,3802
429,persona_429,60,M,Cota,0,10,1,1746
430,persona_430,62,F,Zipaquira,2,2,1,4849
431,persona_431,52,F,Bogotá,1,9,1,4789
432,persona_432,26,F,Cota,2,6,0,1396
433,persona_433,28,F,Bogotá,1,10,0,4788
434,persona_434,47,M,Chía,3,7,1,3611
435,persona_435,66,M,Cajica,3,10,2,3520
436,persona_436,31,F,Zipaquira,0,7,0,2132
437,persona_437,57,M,Zipaquira,1,4,0,4630
438,persona_438,61,M,Chía,0,0,2,2999
439,persona_439,20,M,Cajica,1,6,2,3846
440,persona_440,53,F,Cajica,0,3,0,2407
441,persona_441,46,F,Cota,2,6,2,3152
442,persona_442,30,F,Zipaquira,0,2,2,4204
443,persona_443,65,F,Cajica,0,7,1,1422
444,persona_444,69,F,Cota,1,5,2,4190
445,persona_445,59,F,Cajica,0,2,2,2166
446,persona_446,66,M,Cajica,0,10,1,2806
447,persona_447,39,F,Cota,0,5,2,2197
448,persona_448,55,F,Cota,1,5,2,4006
449,persona_449,22,F,Cota,1,3,0,2702
450,persona_450,48,M,Bogotá,3,2,0,1722
451,persona_451,48,F,Cajica,2,2,1,1303
452,persona_452,26,M,Cajica,1,6,0,4584
453,persona_453,52,M,Zipaquira,3,6,2,4773
454,persona_454,38,M,Zipaquira,3,4,0,1541
455,persona_455,50,F,Zipaquira,0,1,2,1623
456,persona_456,36,M,Cota,0,6,1,3992
457,persona_457,69,F,Zipaquira,3,4,2,3261
458,persona_458,67,F,Chía,1,7,2,2402
459,persona_459,26,F,Zipaquira,3,7,1,2861
460,persona_460,59,M,Cajica,2,5,2,1994
461,persona_461,29,F,Zipaquira,3,9,2,2032
462,persona_462,22,M,Bogotá,3,10,0,3593
463,persona_463,63,F,Cajica,1,8,0,2950
464,persona_464,44,M,Cajica,0,4,0,3173
465,persona_465,37,F,Bogotá,2,8,2,1407
466,persona_466,20,M,Bogotá,0,6,2,4871
467,persona_467,59,M,Chía,0,6,2,1310
468,persona_468,60,M,Bogotá,3,3,0,1913
469,persona_469,62,F,Chía,3,8,0,4680
470,persona_470,68,F,Zipaquira,1,3,2,3054
471,persona_471,66,F,Bogotá,1,3,1,4037
472,persona_472,34,F,Chía,1,5,2,1102
473,persona_473,31,M,Chía,2,9,2,3280
474,persona_474,67,M,Cota,3,4,0,2281
475,persona_475,30,F,Cajica,1,5,2,2573
476,persona_476,58,F,Cajica,2,6,2,2211
477,persona_477,35,F,Bogotá,2,3,1,3686
478,persona_478,59,F,Bogotá,3,4,2,2331
479,persona_479,61,M,Bogotá,0,2,2,2947
480,persona_480,69,M,Cota,3,2,0,2771
481,persona_481,29,M,Cajica,3,9,1,1807
482,persona_482,49,M,Zipaquira,1,8,1,2558
483,persona_483,64,M,Chía,2,7,0,4222
484,persona_484,55,M,Zipaquira,0,0,1,2874
485,persona_485,34,F,Zipaquira,3,4,1,2567
486,persona_486,21,M,Zipaquira,1,9,1,1940
487,persona_487,35,M,Zipaquira,0,1,0,2029
488,persona_488,54,M,Cajica,1,2,1,4789
489,persona_489,51,F,Zipaquira,1,9,1,2961
490,persona_490,68,M,Cota,0,2,0,1227
491,persona_491,64,M,Zipaquira,2,3,1,2972
492,persona_492,23,M,Cajica,3,10,0,1385
493,persona_493,48,M,Bogotá,0,3,0,3181
494,persona_494,66,F,Cota,1,6,1,2165
495,persona_495,68,M,Cajica,0,5,2,3731
496,persona_496,58,M,Cota,2,6,2,1408
497,persona_497,56,M,Chía,3,1,2,4447
498,persona_498,24,F,Cota,1,2,1,1857
499,persona_499,30,F,Cota,0,4,2,2319
500,persona_500,60,M,Bogotá,2,9,1,1951
501,persona_501,60,M,Cota,3,10,1,3516
502,persona_502,24,F,Chía,1,3,1,3505
503,persona_503,70,F,Cajica,3,4,2,3528
504,persona_504,32,F,Cota,2,10,2,1175
505,persona_505,57,M,Bogotá,2,8,0,2432
506,persona_506,68,F,Bogotá,1,8,0,2514
507,persona_507,58,M,Zipaquira,3,2,1,4436
508,persona_508,64,F,Cajica,1,5,1,3403
509,persona_509,39,M,Bogotá,0,1,1,4456
510,persona_510,49,F,Cota,1,7,0,2745
511,persona_511,42,M,Cota,0,5,2,1721
512,persona_512,47,M,Chía,2,0,1,4210
513,persona_513,40,M,Bogotá,0,7,0,1103
514,persona_514,53,F,Cajica,1,6,2,2088
515,persona_515,29,M,Cota,3,4,2,4631
516,persona_516,33,M,Zipaquira,0,3,0,3345
517,persona_517,39,F,Bogotá,0,0,2,1859
518,persona_518,30,F,Zipaquira,2,8,1,4277
519,persona_519,41,F,Bogotá,2,6,1,2705
520,persona_520,56,M,Chía,3,2,0,3903
521,persona_521,36,M,Cajica,2,6,1,1691
522,persona_522,26,M,Cajica,2,2,1,3867
523,persona_523,33,M,Zipaquira,3,7,0,1003
524,persona_524,37,F,Zipaquira,0,0,2,2836
525,persona_525,21,F,Cajica,0,7,2,2991
526,persona_526,41,M,Chía,2,10,0,1568
527,persona_527,52,M,Bogotá,2,3,2,4854
528,persona_528,21,M,Zipaquira,3,7,2,1258
529,persona_529,45,M,Zipaquira,2,10,1,4091
530,persona_530,25,M,Cota,3,2,0,3199
531,persona_531,66,F,Cota,0,5,0,3268
532,persona_532,35,M,Bogotá,1,1,2,4586
533,persona_533,58,M,Bogotá,2,5,2,2843
534,persona_534,40,M,Cota,1,7,0,4857
535,persona_535,69,M,Bogotá,2,5,0,2132
536,persona_536,50,F,Chía,3,0,0,1725
537,persona_537,20,M,Bogotá,2,8,0,2721
538,persona_538,40,F,Zipaquira,1,10,0,3311
539,persona_539,43,F,Cajica,0,10,1,1885
540,persona_540,57,F,Cajica,3,2,1,992
541,persona_541,33,M,Cota,1,3,2,1774
542,persona_542,70,M,Chía,0,7,1,3066
543,persona_543,67,F,Cajica,0,10,2,1827
544,persona_544,62,M,Cota,3,0,0,1728
545,persona_545,60,F,Cota,2,8,0,2060
546,persona_546,30,F,Zipaquira,1,0,1,2446
547,persona_547,21,M,Cota,1,0,2,3469
548,persona_548,32,M,Cajica,3,7,1,1816
549,persona_549,39,F,Bogotá,3,7,1,2778
550,persona_550,58,F,Chía,3,4,1,2120
