,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salarios
99,persona_99,52,F,Bogotá,3,10,1,3086
100,persona_100,32,F,Cajica,1,3,2,2307
101,persona_101,67,M,Zipaquira,0,0,2,4721
102,persona_102,56,F,Cota,2,4,2,3500
103,persona_103,50,F,Zipaquira,2,5,0,2289
104,persona_104,36,M,Zipaquira,3,8,1,4122
105,persona_105,56,F,Zipaquira,0,2,2,2287
106,persona_106,29,M,Zipaquira,2,8,0,3277
107,persona_107,33,M,Cajica,2,0,2,1451
108,persona_108,55,M,Cajica,1,0,0,1063
109,persona_109,56,F,Chía,3,4,0,2688
110,persona_110,25,F,Bogotá,3,7,2,1803
111,persona_111,27,F,Zipaquira,1,8,2,2756
112,persona_112,62,F,Bogotá,0,6,2,3017
113,persona_113,66,F,Cajica,0,8,2,4784
114,persona_114,23,F,Cajica,0,8,1,2418
115,persona_115,58,M,Bogotá,2,7,0,1897
116,persona_116,67,F,Chía,1,3,2,2986
117,persona_117,61,M,Zipaquira,2,1,1,2324
118,persona_118,49,M,Chía,2,1,0,1158
119,persona_119,61,F,Bogotá,2,0,1,3647
120,persona_120,55,F,Cajica,3,8,2,4050
121,persona_121,69,M,Cajica,0,5,2,1371
122,persona_122,63,M,Bogotá,3,10,0,4887
123,persona_123,66,M,Cota,2,9,1,2327
124,persona_124,58,F,Bogotá,1,8,1,2565
125,persona_125,27,M,Bogotá,2,8,1,3155
126,persona_126,69,M,Chía,2,1,0,2949
127,persona_127,66,M,Zipaquira,1,0,2,3067
128,persona_128,56,F,Cota,2,1,2,1606
129,persona_129,66,M,Chía,0,0,1,2748
130,persona_130,20,M,Bogotá,3,2,1,2674
131,persona_131,33,F,Zipaquira,3,6,2,2282
132,persona_132,41,M,Cajica,3,8,0,3860
133,persona_133,49,F,Bogotá,2,5,1,4557
134,persona_134,52,F,Cota,3,9,0,4731
135,persona_135,25,M,Chía,0,0,2,3511
136,persona_136,52,F,Bogotá,1,2,0,4117
137,persona_137,55,F,Cajica,1,1,2,3926
138,persona_138,30,F,Cota,1,3,2,3304
139,persona_139,33,M,Bogotá,1,2,1,2290
140,persona_140,40,F,Chía,0,7,1,3717
141,persona_141,21,M,Cota,2,10,0,3515
142,persona_142,53,M,Cajica,0,4,0,1195
143,persona_143,40,F,Cota,3,0,2,1198
144,persona_144,30,M,Chía,2,10,0,1242
145,persona_145,32,F,Bogotá,3,8,1,4667
146,persona_146,29,M,Cota,2,6,0,2116
147,persona_147,57,F,Cota,0,9,1,3002
148,persona_148,69,M,Cota,3,7,1,1063
149,persona_149,46,M,Bogotá,2,6,1,4097
150,persona_150,61,M,Cota,2,1,2,1198
151,persona_151,23,M,Chía,2,5,1,4059
152,persona_152,26,M,Cajica,3,5,0,4840
153,persona_153,25,M,Bogotá,3,4,0,3102
154,persona_154,22,M,Bogotá,3,7,1,1158
155,persona_155,22,M,Bogotá,3,9,0,1632
156,persona_156,40,F,Zipaquira,2,0,1,3041
157,persona_157,66,F,Chía,1,1,2,2417
158,persona_158,30,F,Zipaquira,0,7,0,3775
159,persona_159,21,F,Chía,3,2,2,1755
160,persona_160,69,M,Zipaquira,2,6,1,1980
161,persona_161,34,M,Zipaquira,3,8,2,3738
162,persona_162,20,M,Cajica,2,9,2,1978
163,persona_163,30,F,Zipaquira,3,4,2,2324
164,persona_164,60,F,Bogotá,2,1,2,3368
165,persona_165,54,M,Chía,3,9,1,4582
166,persona_166,20,M,Bogotá,3,9,1,3076
167,persona_167,25,M,Cota,3,7,1,2587
168,persona_168,50,F,Bogotá,1,3,2,4759
169,persona_169,54,M,Cota,3,5,0,4721
170,persona_170,30,M,Bogotá,0,9,0,1077
171,persona_171,23,M,Bogotá,2,2,0,3561
172,persona_172,23,F,Bogotá,1,4,2,1254
173,persona_173,67,F,Cajica,3,1,2,3837
174,persona_174,26,M,Bogotá,3,4,2,2755
175,persona_175,66,M,Cajica,1,10,0,2711
176,persona_176,46,F,Chía,1,6,1,3345
177,persona_177,34,F,Cota,2,3,2,4701
178,persona_178,68,F,Bogotá,2,7,0,2722
179,persona_179,42,M,Cota,2,10,0,1641
180,persona_180,58,F,Bogotá,3,1,1,3207
181,persona_181,24,M,Bogotá,1,8,2,4998
182,persona_182,24,M,Chía,0,2,2,3692
183,persona_183,20,F,Chía,1,5,1,2215
184,persona_184,45,F,Zipaquira,2,0,0,2939
185,persona_185,70,M,Cajica,3,7,2,3664
186,persona_186,38,M,Zipaquira,2,3,1,1282
187,persona_187,36,F,Chía,0,5,2,4768
188,persona_188,21,M,Cota,0,7,0,2401
189,persona_189,53,F,Bogotá,3,4,1,1283
190,persona_190,53,F,Chía,1,10,1,3451
191,persona_191,32,F,Bogotá,2,7,2,4406
192,persona_192,48,F,Zipaquira,1,1,0,957
193,persona_193,70,F,Zipaquira,1,4,1,3209
194,persona_194,35,M,Bogotá,2,10,0,3311
195,persona_195,46,M,Cajica,0,10,1,2712
196,persona_196,38,M,Chía,2,4,1,2903
197,persona_197,66,M,Zipaquira,0,10,2,3186
198,persona_198,28,M,Chía,0,10,2,3093
199,persona_199,57,M,Cajica,2,6,0,2378
200,persona_200,59,M,Chía,1,4,2,3748
201,persona_201,53,F,Chía,0,7,1,1702
202,persona_202,31,F,Chía,1,9,0,1429
203,persona_203,42,M,Cajica,1,5,0,3773
204,persona_204,27,M,Cajica,1,4,0,1916
205,persona_205,25,M,Bogotá,0,5,2,2991
206,persona_206,53,M,Cajica,2,5,0,960
207,persona_207,33,F,Cajica,3,10,0,3363
208,persona_208,51,M,Cota,0,3,2,2662
209,persona_209,28,F,Zipaquira,3,4,2,2224
210,persona_210,64,F,Cota,3,8,1,993
211,persona_211,67,F,Cajica,0,5,2,4190
212,persona_212,47,M,Chía,2,2,2,3914
213,persona_213,28,M,Cajica,1,5,0,2025
214,persona_214,48,M,Bogotá,2,5,0,4622
215,persona_215,63,M,Bogotá,0,9,0,3060
216,persona_216,45,M,Cota,3,2,2,1947
217,persona_217,57,F,Zipaquira,3,9,2,4133
218,persona_218,39,F,Cajica,1,8,1,2432
219,persona_219,23,F,Cota,2,10,1,3188
220,persona_220,60,F,Cajica,0,0,1,919
221,persona_221,67,M,Cota,2,0,2,1392
222,persona_222,43,M,Bogotá,1,9,2,3650
223,persona_223,23,M,Chía,0,2,1,2482
224,persona_224,41,F,Chía,1,3,0,4640
225,persona_225,32,F,Zipaquira,3,4,1,1702
226,persona_226,22,F,Cajica,1,0,2,3318
227,persona_227,31,M,Zipaquira,0,5,1,2419
228,persona_228,34,M,Cajica,2,0,2,2300
229,persona_229,59,F,Bogotá,3,3,0,4514
230,persona_230,33,M,Chía,2,5,1,2853
231,persona_231,28,M,Zipaquira,2,7,0,4104
232,persona_232,67,M,Chía,3,6,1,2019
233,persona_233,25,M,Chía,2,1,0,2281
234,persona_234,22,M,Cota,3,0,1,3222
235,persona_235,43,M,Cota,2,3,2,1059
236,persona_236,36,F,Chía,2,1,2,1141
237,persona_237,66,M,Chía,2,8,1,4384
238,persona_238,31,F,Cota,2,5,2,3794
239,persona_239,64,M,Bogotá,0,9,1,1105
240,persona_240,31,M,Cota,1,3,0,4740
241,persona_241,40,M,Cajica,1,7,1,1768
242,persona_242,32,F,Bogotá,1,8,2,4999
243,persona_243,53,F,Bogotá,2,8,2,1531
244,persona_244,34,F,Zipaquira,3,2,1,4291
245,persona_245,65,M,Chía,2,9,1,4964
246,persona_246,35,M,Chía,0,1,0,2115
247,persona_247,64,F,Chía,2,4,2,3040
248,persona_248,35,F,Cota,2,2,2,1786
249,persona_249,62,M,Chía,3,7,1,4247
250,persona_250,43,F,Chía,3,8,1,1480
251,persona_251,30,M,Zipaquira,3,7,1,3517
252,persona_252,34,M,Cajica,0,7,0,2099
253,persona_253,58,F,Chía,1,6,0,3303
254,persona_254,49,F,Zipaquira,2,2,1,3142
255,persona_255,22,F,Zipaquira,1,4,1,4721
256,persona_256,57,F,Cajica,2,9,2,1445
257,persona_257,63,F,Bogotá,0,3,2,1909
258,persona_258,41,M,Chía,3,8,2,3153
259,persona_259,48,F,Zipaquira,2,6,1,1492
260,persona_260,45,F,Cajica,0,5,0,4518
261,persona_261,61,M,Cota,1,3,1,3752
262,persona_262,47,F,Zipaquira,2,0,1,1929
263,persona_263,60,M,Bogotá,2,5,1,1168
264,persona_264,24,M,Cota,1,9,2,4327
265,persona_265,38,M,Cota,3,8,1,4605
266,persona_266,68,M,Cajica,0,1,0,1776
267,persona_267,24,F,Zipaquira,0,0,1,2881
268,persona_268,66,F,Chía,2,2,0,3388
269,persona_269,27,M,Chía,1,1,1,3007
270,persona_270,28,M,Bogotá,1,9,0,4263
271,persona_271,40,M,Bogotá,3,4,1,4776
272,persona_272,67,M,Bogotá,3,7,0,3907
273,persona_273,68,M,Chía,0,7,0,2179
274,persona_274,32,M,Cota,2,1,0,4080
275,persona_275,34,M,Chía,2,6,1,3097
276,persona_276,21,F,Chía,1,10,2,1813
277,persona_277,58,F,Cota,0,0,0,4914
278,persona_278,58,M,Cota,1,1,2,2455
279,persona_279,49,M,Chía,3,8,2,1685
280,persona_280,68,F,Zipaquira,2,1,1,2873
281,persona_281,52,F,Bogotá,2,8,0,3823
282,persona_282,42,M,Zipaquira,3,4,1,1749
283,persona_283,52,F,Bogotá,2,7,0,3994
284,persona_284,59,M,Bogotá,2,7,0,4449
285,persona_285,54,M,Cajica,2,9,1,2696
286,persona_286,38,F,Chía,1,3,0,2404
287,persona_287,27,F,Zipaquira,1,3,0,1632
288,persona_288,55,F,Cajica,3,10,1,2713
289,persona_289,38,F,Chía,3,9,0,3292
290,persona_290,41,F,Cajica,0,6,1,3783
291,persona_291,36,M,Cajica,3,3,0,4872
292,persona_292,42,M,Cota,1,3,2,1728
293,persona_293,47,M,Bogotá,2,10,2,3127
294,persona_294,59,M,Cajica,2,1,2,4344
295,persona_295,40,F,Cota,0,2,2,4634
296,persona_296,31,M,Cota,2,7,0,3172
297,persona_297,67,F,Chía,3,2,1,2709
298,persona_298,70,M,Cota,1,3,2,3409
299,persona_299,28,F,Zipaquira,2,4,2,3071
300,persona_300,67,F,Cajica,1,5,1,4876
301,persona_301,50,M,Chía,1,10,1,4990
302,persona_302,37,M,Zipaquira,3,1,2,1250
303,persona_303,62,M,Cajica,2,8,2,1264
304,persona_304,46,F,Zipaquira,3,10,1,1889
305,persona_305,25,F,Cota,1,9,0,4544
306,persona_306,47,F,Cajica,1,9,1,3390
307,persona_307,28,M,Zipaquira,2,0,1,1446
308,persona_308,22,F,Bogotá,2,10,2,2719
309,persona_309,37,M,Chía,2,10,2,2246
310,persona_310,41,F,Chía,1,7,2,4561
311,persona_311,66,F,Chía,0,9,0,3748
312,persona_312,26,M,Cota,2,2,1,1374
313,persona_313,56,M,Bogotá,3,3,1,1857
314,persona_314,47,M,Zipaquira,3,7,2,3298
315,persona_315,38,F,Zipaquira,2,8,2,4416
316,persona_316,33,F,Bogotá,3,5,2,3614
317,persona_317,62,M,Zipaquira,3,10,2,3888
318,persona_318,47,F,Zipaquira,1,4,0,1890
319,persona_319,42,M,Bogotá,3,4,0,3090
320,persona_320,62,F,Cota,0,4,1,1218
321,persona_321,22,F,Cajica,1,3,1,3511
322,persona_322,32,F,Bogotá,2,9,1,1815
323,persona_323,46,F,Zipaquira,0,6,1,4729
324,persona_324,34,M,Zipaquira,0,9,2,3257
325,persona_325,45,F,Cota,1,6,0,4140
326,persona_326,52,F,Chía,3,9,0,1094
327,persona_327,48,F,Cota,0,1,2,2723
328,persona_328,40,F,Cota,2,2,0,3618
329,persona_329,42,M,Zipaquira,3,9,2,4299
330,persona_330,21,F,Cota,1,1,0,4864
331,persona_331,23,M,Zipaquira,1,7,1,2735
332,persona_332,65,M,Chía,0,10,2,2108
333,persona_333,66,F,Cota,0,3,2,2315
334,persona_334,20,F,Bogotá,0,10,0,1804
335,persona_335,63,M,Bogotá,1,9,0,3986
336,persona_336,59,M,Zipaquira,2,7,0,1884
337,persona_337,36,M,Cajica,0,3,2,2327
338,persona_338,52,M,Chía,0,2,0,2831
339,persona_339,20,F,Chía,3,5,1,4720
340,persona_340,34,M,Zipaquira,1,2,2,3905
341,persona_341,70,F,Chía,2,9,1,2977
342,persona_342,44,M,Zipaquira,1,8,1,1720
343,persona_343,48,F,Cajica,1,6,1,1503
344,persona_344,66,M,Zipaquira,2,9,0,3967
345,persona_345,58,M,Cajica,1,5,2,3556
346,persona_346,27,F,Cajica,1,2,1,2332
347,persona_347,65,F,Cajica,1,6,1,2274
348,persona_348,50,M,Cota,3,2,2,1069
349,persona_349,70,F,Cota,1,1,2,1060
350,persona_350,51,F,Cota,0,5,1,2189
351,persona_351,64,M,Cota,1,7,0,4549
352,persona_352,60,M,Cajica,1,6,2,2572
353,persona_353,20,M,Bogotá,2,3,1,4382
354,persona_354,26,M,Zipaquira,1,0,1,1348
355,persona_355,34,M,Chía,1,8,0,4692
356,persona_356,32,F,Cajica,1,3,2,1049
357,persona_357,32,M,Chía,3,1,0,3605
358,persona_358,23,M,Cajica,1,6,2,1635
359,persona_359,67,M,Bogotá,2,10,0,4490
360,persona_360,61,M,Cota,2,2,1,3722
361,persona_361,31,M,Zipaquira,2,2,2,1915
362,persona_362,58,M,Cota,0,9,2,2511
363,persona_363,34,F,Chía,2,6,0,1049
364,persona_364,44,F,Cajica,3,6,2,3222
365,persona_365,59,M,Cota,1,4,1,3440
366,persona_366,64,F,Cajica,0,2,2,2300
367,persona_367,41,M,Zipaquira,1,5,2,2904
368,persona_368,37,F,Zipaquira,1,5,0,1536
369,persona_369,60,F,Zipaquira,3,7,0,1760
370,persona_370,24,F,Cajica,1,5,1,2293
371,persona_371,65,M,Zipaquira,1,3,0,3131
372,persona_372,65,F,Zipaquira,1,4,0,1457
373,persona_373,23,M,Chía,2,4,1,1563
374,persona_374,50,M,Zipaquira,2,5,1,2116
375,persona_375,34,M,Cota,0,9,2,1011
376,persona_376,47,F,Bogotá,2,7,2,2244
377,persona_377,36,M,Chía,1,7,1,3487
378,persona_378,60,M,Bogotá,0,2,0,3640
379,persona_379,37,M,Chía,3,3,2,1504
380,persona_380,58,M,Zipaquira,1,0,2,4757
381,persona_381,35,M,Bogotá,3,6,0,1978
382,persona_382,56,F,Cajica,3,1,2,1313
383,persona_383,43,M,Chía,0,10,1,1522
384,persona_384,47,M,Cota,1,9,1,1872
385,persona_385,40,F,Chía,1,4,1,1516
386,persona_386,58,F,Cota,3,8,0,4922
387,persona_387,62,M,Cota,2,3,1,1482
388,persona_388,34,F,Bogotá,0,0,2,3154
389,persona_389,49,M,Cota,2,10,0,2482
390,persona_390,34,F,Zipaquira,0,6,2,2785
391,persona_391,56,M,Cota,3,8,1,2314
392,persona_392,26,F,Chía,1,2,1,2875
393,persona_393,36,M,Cajica,1,1,1,1505
394,persona_394,46,M,Cota,0,5,2,4736
395,persona_395,29,F,Zipaquira,0,6,2,3771
396,persona_396,54,M,Zipaquira,3,5,0,3482
397,persona_397,43,F,Chía,3,1,2,3506
398,persona_398,29,M,Chía,0,6,1,4150
399,persona_399,36,F,Cota,3,1,2,2876
400,persona_400,48,F,Chía,2,5,0,4303
401,persona_401,49,M,Cota,0,3,1,1402
402,persona_402,54,M,Bogotá,1,5,1,3805
403,persona_403,46,F,Cota,3,2,0,1260
404,persona_404,30,M,Chía,2,10,1,1014
405,persona_405,45,F,Cajica,3,3,2,4383
406,persona_406,47,F,Bogotá,3,1,2,3433
407,persona_407,35,M,Bogotá,0,7,0,4533
408,persona_408,30,M,Zipaquira,1,5,0,4767
409,persona_409,42,F,Chía,1,9,1,3916
410,persona_410,31,F,Zipaquira,2,6,2,4834
411,persona_411,49,F,Zipaquira,2,8,1,1175
412,persona_412,33,M,Zipaquira,0,1,2,4703
413,persona_413,50,M,Cajica,1,8,2,4327
414,persona_414,64,F,Zipaquira,0,10,2,2333
415,persona_415,30,M,Cajica,3,3,0,2131
416,persona_416,65,M,Cajica,2,1,0,1858
417,persona_417,30,M,Zipaquira,1,10,0,1206
418,persona_418,45,M,Bogotá,0,6,0,2447
419,persona_419,23,F,Chía,2,7,1,4802
420,persona_420,66,F,Cajica,2,9,0,4995
421,persona_421,25,F,Chía,3,6,0,2157
422,persona_422,22,M,Cajica,3,5,0,3655
423,persona_423,25,M,Chía,1,7,0,3767
424,persona_424,24,F,Chía,0,6,2,4196
425,persona_425,21,M,Cota,0,3,0,1164
426,persona_426,63,M,Bogotá,1,1,0,1048
427,persona_427,39,F,Cota,1,2,0,1027
428,persona_428,42,M,Chía,1,6,0,917
429,persona_429,44,M,Chía,1,0,2,1208
430,persona_430,68,M,Zipaquira,3,8,2,3352
431,persona_431,52,M,Cajica,1,8,0,3507
432,persona_432,45,F,Chía,1,8,0,3185
433,persona_433,60,M,Bogotá,0,2,2,1170
434,persona_434,46,F,Bogotá,3,3,1,1811
435,persona_435,47,M,Bogotá,2,1,0,4308
436,persona_436,28,M,Cota,3,2,0,3077
437,persona_437,23,F,Cota,2,9,1,3990
438,persona_438,26,F,Zipaquira,1,9,0,2113
439,persona_439,38,F,Bogotá,1,1,2,3096
440,persona_440,59,F,Zipaquira,3,8,2,2307
441,persona_441,29,M,Cajica,0,8,0,3892
442,persona_442,38,M,Cota,3,9,0,1253
443,persona_443,62,F,Chía,1,8,0,2231
444,persona_444,29,F,Cota,1,1,0,3574
445,persona_445,41,F,Zipaquira,0,8,0,4563
446,persona_446,30,M,Chía,2,4,0,3408
447,persona_447,59,F,Zipaquira,0,10,0,1313
448,persona_448,59,M,Chía,1,3,0,3993
449,persona_449,27,F,Cota,1,2,0,4316
450,persona_450,31,M,Cota,1,9,1,2598
451,persona_451,57,F,Cota,3,8,2,2734
452,persona_452,46,M,Chía,1,5,2,4615
453,persona_453,45,F,Cajica,3,2,1,4044
454,persona_454,25,F,Cota,3,4,1,3941
455,persona_455,26,M,Chía,2,5,0,901
456,persona_456,33,M,Bogotá,1,3,0,1010
457,persona_457,37,M,Cajica,0,4,2,1251
458,persona_458,27,M,Cota,2,1,0,3477
459,persona_459,36,F,Cajica,1,3,1,3759
460,persona_460,38,F,Bogotá,2,2,0,3986
461,persona_461,40,F,Zipaquira,1,10,1,3215
462,persona_462,34,F,Chía,0,10,1,2218
463,persona_463,66,M,Chía,3,6,0,1617
464,persona_464,33,F,Cajica,2,10,1,4742
465,persona_465,52,F,Cajica,1,9,2,3323
466,persona_466,38,M,Zipaquira,2,10,2,2713
467,persona_467,36,F,Cota,3,1,2,1040
468,persona_468,26,F,Cajica,3,2,0,2683
469,persona_469,41,M,Zipaquira,2,8,2,2925
470,persona_470,64,M,Bogotá,3,7,1,4773
471,persona_471,61,F,Cota,2,8,2,1730
472,persona_472,21,F,Chía,2,1,2,4402
473,persona_473,48,M,Bogotá,3,0,1,4400
474,persona_474,30,F,Chía,1,2,1,3714
475,persona_475,39,M,Bogotá,2,8,2,2959
476,persona_476,50,M,Bogotá,3,7,2,4738
477,persona_477,63,F,Chía,0,4,1,4853
478,persona_478,49,M,Zipaquira,0,7,0,1392
479,persona_479,61,M,Cota,2,3,0,1072
480,persona_480,29,M,Zipaquira,2,1,1,1966
481,persona_481,24,F,Cota,2,4,1,2428
482,persona_482,34,M,Cota,2,5,2,3145
483,persona_483,47,M,Cota,1,10,2,3920
484,persona_484,67,M,Cajica,1,9,2,2655
485,persona_485,64,F,Chía,0,1,2,1243
486,persona_486,27,F,Cajica,1,6,1,1556
487,persona_487,46,M,Cajica,0,7,0,4251
488,persona_488,63,F,Zipaquira,0,5,2,1634
489,persona_489,53,M,Cajica,1,8,2,4209
490,persona_490,36,M,Bogotá,1,8,1,1576
491,persona_491,64,F,Zipaquira,1,1,0,4571
492,persona_492,45,M,Bogotá,3,5,1,2775
493,persona_493,52,F,Cota,2,9,2,3133
494,persona_494,49,F,Cota,2,6,0,955
495,persona_495,64,F,Cota,2,3,1,1417
496,persona_496,39,M,Zipaquira,3,1,1,926
497,persona_497,57,F,Cota,1,8,1,2603
498,persona_498,63,F,Cajica,3,8,2,3729
499,persona_499,43,F,Bogotá,2,3,2,2313
500,persona_500,47,F,Cota,3,8,1,2317
501,persona_501,42,M,Cota,2,9,2,4540
502,persona_502,38,M,Cota,2,1,2,1693
503,persona_503,57,F,Cota,0,5,1,3832
504,persona_504,52,F,Bogotá,1,7,1,4574
505,persona_505,26,F,Zipaquira,2,0,2,1509
506,persona_506,69,M,Cota,2,0,0,1586
507,persona_507,23,M,Zipaquira,1,3,1,2014
508,persona_508,50,F,Zipaquira,0,5,2,2971
509,persona_509,68,M,Chía,1,2,0,4791
510,persona_510,37,M,Chía,3,4,2,3207
511,persona_511,40,F,Cajica,0,10,0,1470
512,persona_512,29,F,Cajica,3,2,0,1627
513,persona_513,43,M,Cota,2,6,1,3108
514,persona_514,34,F,Cajica,2,4,0,1197
515,persona_515,34,F,Cajica,3,10,2,2388
516,persona_516,58,F,Cajica,2,6,1,3489
517,persona_517,45,M,Chía,1,1,2,915
518,persona_518,54,M,Cajica,1,2,0,2246
519,persona_519,58,M,Zipaquira,3,7,1,1752
520,persona_520,43,M,Bogotá,1,10,2,4982
521,persona_521,66,M,Bogotá,0,2,1,4249
522,persona_522,47,F,Zipaquira,3,9,2,4422
523,persona_523,64,F,Zipaquira,2,2,2,3986
524,persona_524,24,M,Cajica,2,1,1,4068
525,persona_525,44,M,Chía,2,9,2,1937
526,persona_526,49,M,Chía,1,4,2,3656
527,persona_527,22,M,Zipaquira,0,4,0,3907
528,persona_528,41,M,Chía,3,0,0,3244
529,persona_529,53,F,Zipaquira,1,5,0,2708
530,persona_530,37,F,Cajica,1,2,2,1585
531,persona_531,27,M,Cajica,2,6,1,4409
532,persona_532,37,F,Zipaquira,1,1,0,1844
533,persona_533,59,F,Zipaquira,0,0,0,3705
534,persona_534,51,M,Zipaquira,1,5,0,1764
535,persona_535,53,M,Zipaquira,0,7,0,3244
536,persona_536,22,F,Cota,3,3,0,2405
537,persona_537,32,M,Bogotá,0,10,2,4467
538,persona_538,45,M,Chía,0,8,2,4994
539,persona_539,27,F,Cajica,1,2,2,1332
540,persona_540,46,F,Cajica,0,4,2,4279
541,persona_541,51,F,Chía,0,10,1,2388
542,persona_542,53,M,Zipaquira,2,10,2,3716
543,persona_543,37,M,Cota,2,2,2,1942
544,persona_544,67,M,Bogotá,2,4,2,1788
545,persona_545,50,F,Cajica,0,5,0,1076
546,persona_546,37,M,Bogotá,0,9,1,4765
547,persona_547,53,M,Bogotá,0,10,0,1007
548,persona_548,42,F,Cota,1,10,1,3747
549,persona_549,36,M,Cota,3,4,2,2434
550,persona_550,50,M,Cota,0,3,1,4481
551,persona_551,52,M,Zipaquira,0,3,0,4398
552,persona_552,64,F,Cajica,3,5,1,3543
